method,N,K,J,rep,recovery,time_s
EM-MIP-20,1000,3,10,60,0.966667,15.010
EM-MIP-20,1000,3,10,61,0.966667,16.297
EM-MIP-20,1000,3,10,62,0.966667,17.493
EM-MIP-20,1000,3,10,63,0.966667,15.889
EM-MIP-20,1000,3,10,64,0.800000,15.776
EM-MIP-20,1000,3,10,65,1.000000,14.007
EM-MIP-20,1000,3,10,66,0.933333,18.484
EM-MIP-20,1000,3,10,67,0.933333,15.968
EM-MIP-20,1000,3,10,68,0.966667,13.404
EM-MIP-20,1000,3,10,69,0.900000,15.578
EM-MIP-20,1000,3,10,70,1.000000,15.119
EM-MIP-20,1000,3,10,71,1.000000,16.046
EM-MIP-20,1000,3,10,72,0.966667,14.990
EM-MIP-20,1000,3,10,73,1.000000,15.726
EM-MIP-20,1000,3,10,74,1.000000,14.001
EM-MIP-20,1000,3,10,75,0.966667,17.460
EM-MIP-20,1000,3,10,76,0.933333,16.492
EM-MIP-20,1000,3,10,77,1.000000,12.573
EM-MIP-20,1000,3,10,78,1.000000,16.419
EM-MIP-20,1000,3,10,79,0.900000,15.700
EM-MIP-20,1000,3,10,80,0.933333,15.833
EM-MIP-20,1000,3,10,81,0.966667,17.810
EM-MIP-20,1000,3,10,82,1.000000,17.268
EM-MIP-20,1000,3,10,83,0.966667,16.782
EM-MIP-20,1000,3,10,84,0.933333,17.437
EM-MIP-20,1000,3,10,85,1.000000,12.587
EM-MIP-20,1000,3,10,86,0.933333,15.664
EM-MIP-20,1000,3,10,87,1.000000,16.447
EM-MIP-20,1000,3,10,88,1.000000,14.423
EM-MIP-20,1000,3,10,89,0.866667,15.832
EM-MIP-20,1000,3,10,90,0.966667,16.391
EM-MIP-20,1000,3,10,91,0.800000,17.315
EM-MIP-20,1000,3,10,92,1.000000,14.633
EM-MIP-20,1000,3,10,93,0.800000,16.038
EM-MIP-20,1000,3,10,94,0.833333,16.088
EM-MIP-20,1000,3,10,95,1.000000,13.453
EM-MIP-20,1000,3,10,96,0.966667,15.867
EM-MIP-20,1000,3,10,97,1.000000,16.712
EM-MIP-20,1000,3,10,98,0.866667,16.341
EM-MIP-20,1000,3,10,99,0.900000,17.636
EM-MIP-20,1000,3,10,100,0.966667,14.345
EM-MIP-50,250,3,10,1,0.966667,24.174
EM-MIP-50,250,3,10,2,1.000000,24.874
EM-MIP-50,250,3,10,3,0.966667,25.551
EM-MIP-50,250,3,10,4,1.000000,27.436
EM-MIP-50,250,3,10,5,0.966667,27.261
EM-MIP-50,250,3,10,6,1.000000,23.020
EM-MIP-50,250,3,10,7,0.933333,23.582
EM-MIP-50,250,3,10,8,0.933333,26.057
EM-MIP-50,250,3,10,9,1.000000,24.658
EM-MIP-50,250,3,10,10,1.000000,21.641
EM-MIP-50,250,3,10,11,0.966667,21.452
EM-MIP-50,250,3,10,12,0.933333,31.186
EM-MIP-50,250,3,10,13,1.000000,23.253
EM-MIP-50,250,3,10,14,1.000000,24.717
EM-MIP-50,250,3,10,15,0.800000,25.765
EM-MIP-50,250,3,10,16,0.966667,27.805
EM-MIP-50,250,3,10,17,0.966667,25.728
EM-MIP-50,250,3,10,18,1.000000,27.840
EM-MIP-50,250,3,10,19,1.000000,26.392
EM-MIP-50,250,3,10,20,0.933333,27.167
EM-MIP-50,250,3,10,21,0.966667,25.313
EM-MIP-50,250,3,10,22,0.933333,22.533
EM-MIP-50,250,3,10,23,1.000000,26.199
EM-MIP-50,250,3,10,24,0.966667,22.197
EM-MIP-50,250,3,10,25,0.966667,28.024
EM-MIP-50,250,3,10,26,0.966667,26.976
EM-MIP-50,250,3,10,27,1.000000,29.024
EM-MIP-50,250,3,10,28,1.000000,23.446
EM-MIP-50,250,3,10,29,1.000000,22.624
EM-MIP-50,250,3,10,30,0.966667,25.617
EM-MIP-50,250,3,10,31,0.966667,28.926
EM-MIP-50,250,3,10,32,1.000000,25.234
EM-MIP-50,250,3,10,33,1.000000,23.915
EM-MIP-50,250,3,10,34,0.966667,25.377
EM-MIP-50,250,3,10,35,0.933333,26.212
EM-MIP-50,250,3,10,36,1.000000,23.851
EM-MIP-50,250,3,10,37,0.900000,26.926
EM-MIP-50,250,3,10,38,0.966667,21.104
EM-MIP-50,250,3,10,39,1.000000,26.267
EM-MIP-50,250,3,10,40,1.000000,21.482
EM-MIP-50,250,3,10,41,0.933333,30.386
EM-MIP-50,250,3,10,42,0.966667,20.721
EM-MIP-50,250,3,10,43,0.933333,20.819
EM-MIP-50,250,3,10,44,0.933333,28.154
EM-MIP-50,250,3,10,45,1.000000,22.859
EM-MIP-50,250,3,10,46,0.966667,24.952
EM-MIP-50,250,3,10,47,1.000000,20.780
EM-MIP-50,250,3,10,48,0.966667,21.942
EM-MIP-50,250,3,10,49,1.000000,29.015
EM-MIP-50,250,3,10,50,0.966667,26.455
EM-MIP-50,250,3,10,51,0.933333,26.847
EM-MIP-50,250,3,10,52,1.000000,23.513
EM-MIP-50,250,3,10,53,1.000000,25.290
EM-MIP-50,250,3,10,54,0.833333,27.134
EM-MIP-50,250,3,10,55,0.933333,19.887
EM-MIP-50,250,3,10,56,1.000000,23.400
EM-MIP-50,250,3,10,57,0.966667,24.589
EM-MIP-50,250,3,10,58,0.933333,23.270
EM-MIP-50,250,3,10,59,0.966667,26.788
EM-MIP-50,250,3,10,60,0.966667,29.196
EM-MIP-50,250,3,10,61,0.933333,27.475
EM-MIP-50,250,3,10,62,0.966667,20.739
EM-MIP-50,250,3,10,63,0.933333,22.308
EM-MIP-50,250,3,10,64,0.933333,27.431
EM-MIP-50,250,3,10,65,0.833333,26.269
EM-MIP-50,250,3,10,66,0.900000,20.890
EM-MIP-50,250,3,10,67,0.900000,22.121
EM-MIP-50,250,3,10,68,1.000000,23.955
EM-MIP-50,250,3,10,69,0.900000,22.494
EM-MIP-50,250,3,10,70,0.966667,28.729
EM-MIP-50,250,3,10,71,1.000000,22.083
EM-MIP-50,250,3,10,72,1.000000,22.406
EM-MIP-50,250,3,10,73,0.966667,29.090
EM-MIP-50,250,3,10,74,1.000000,25.624
EM-MIP-50,250,3,10,75,1.000000,24.621
EM-MIP-50,250,3,10,76,0.966667,25.399
